Vs_soil,Vs_bedrock,h_soil,correlation
334.29514,1254.3164,10,0.9962991532027885
212.72801,919.73724,15,0.9990548160703931
229.24997,951.0975,105,0.2564073877711746
352.82925,951.8882,55,0.7436723340316855
201.35832,888.62164,80,0.7554368723638542
117.954735,1347.3103,60,0.7404045862167155
191.42992,1314.7854,80,-0.1273591767261332
157.59114,908.1494,65,0.42754043354241916
222.2465,799.88837,5,0.7747249150178567
126.87824,849.3152,10,0.7805317671496209
312.47684,1378.8739,80,-0.032214620310614145
161.72021,957.7616,105,0.3802566342860474
273.63922,828.25055,35,0.7254212203379194
199.82625,875.70135,135,0.0793891829342804
319.90796,1248.2328,120,0.297392698243675
303.19934,863.5636,20,0.9922160643109896
188.92755,1278.1431,85,-0.05154612549256671
189.02243,787.2769,115,-0.00945740879578827
305.03488,1100.7041,10,0.9967491116852947
104.88565,1472.4934,25,0.5377298037406805
167.16576,1017.2367,35,0.7276535894103457
227.3434,924.5728,90,0.2803080411309867
147.34238,1481.6483,60,0.3092153527670028
292.4779,1285.5021,70,0.2403188850487996
176.6924,862.27856,130,0.39230350121183005
130.31398,963.79565,135,-0.04891460360117027
126.55824,1245.9087,55,0.5250277805998512
263.50507,1234.0627,135,0.7510556426041297
109.54858,1162.7207,100,0.7344706848719815
185.74025,931.805,15,0.9346821371216393
215.8828,1329.6455,75,0.11528849516120572
112.62424,1242.1312,75,0.49896624107246357
174.19565,1300.2201,35,0.6217546693063544
270.37714,839.008,105,0.5858471296713772
150.45886,1428.7587,100,0.0657327838178316
