0,1,2,3,4,5,6
0.26,-1.031606e-27,-5.232153e-28,-8.961145e-32,-1.064277e-35,-7.70222e-40,-1.272646e-44
0.27,-2.560869e-27,-1.307981e-27,-2.350533e-31,-2.923391e-35,-2.3668150000000002e-39,-6.036903e-44
0.28,-6.3180700000000004e-27,-3.249672e-27,-6.128349000000001e-31,-7.983103e-35,-7.040403000000001e-39,-2.645403e-43
0.29,-1.54919e-26,-8.024058e-27,-1.588161e-30,-2.167155e-34,-2.0445509999999998e-38,-1.078316e-42
0.3,-3.775264e-26,-1.969083e-26,-4.090896e-30,-5.84837e-34,-5.836184e-38,-4.116296e-42
0.31,-9.143482999999999e-26,-4.802296e-26,-1.047406e-29,-1.5689350000000002e-33,-1.6457e-37,-1.481416e-41
0.32,-2.200883e-25,-1.163985e-25,-2.665529e-29,-4.184081e-33,-4.59904e-37,-5.060165e-41
0.33,-5.2650490000000005e-25,-2.803879e-25,-6.742534e-29,-1.109227e-32,-1.276081e-36,-1.65154e-40
0.34,-1.251778e-24,-6.712481000000001e-25,-1.695249e-28,-2.9232470000000003e-32,-3.518635e-36,-5.185097e-40
0.35,-2.957814e-24,-1.5970489999999999e-24,-4.236564e-28,-7.658344e-32,-9.645176e-36,-1.576168e-39
0.36,-6.945959e-24,-3.7762749999999996e-24,-1.0523580000000001e-27,-1.994473e-31,-2.628636e-35,-4.6676280000000006e-39
0.37,-1.6211030000000003e-23,-8.873982e-24,-2.5982530000000002e-27,-5.163505e-31,-7.122595e-35,-1.3540609999999998e-38
0.38,-3.760148e-23,-2.0724400000000003e-23,-6.376278e-27,-1.328874e-30,-1.91879e-34,-3.8659709999999997e-38
0.39,-8.667916000000001e-23,-4.8100850000000003e-23,-1.555322e-26,-3.3997379999999996e-30,-5.139171e-34,-1.090331e-37
0.4,-1.985815e-22,-1.109507e-22,-3.770853e-26,-8.64627e-30,-1.368461e-33,-3.0458e-37
0.41,-4.521436e-22,-2.5433900000000002e-22,-9.087081e-26,-2.185915e-29,-3.622799e-33,-8.442317e-37
0.42,-1.0231199999999999e-21,-5.79429e-22,-2.176577e-25,-5.493617e-29,-9.535168000000001e-33,-2.324373e-36
0.43,-2.300849e-21,-1.31187e-21,-5.1818810000000005e-25,-1.3724720000000002e-28,-2.495079e-32,-6.360428e-36
0.44,-5.142335e-21,-2.951779e-21,-1.226208e-24,-3.408536e-28,-6.491e-32,-1.7303079999999999e-35
0.45,-1.1421999999999999e-20,-6.600516e-21,-2.8840499999999998e-24,-8.414941e-28,-1.678843e-31,-4.680209e-35
